z;x;V;t
-565.697;1112.25;250;0
-558.756;1099.34;240;0.0608809
-551.394;1085.67;230;0.127036
-543.707;1071.4;220;0.199183
-535.667;1056.47;210;0.278179
-527.238;1040.82;200;0.365045
-518.381;1024.38;190;0.461023
-509.05;1007.06;180;0.56763
-499.191;988.751;170;0.686734
-488.742;969.348;160;0.820671
-477.626;948.708;150;0.972398
-465.754;926.662;140;1.14571
-453.014;903.004;130;1.34558
-439.291;877.517;120;1.57826
-424.483;850.012;110;1.85136
-408.449;820.228;100;2.17556
-390.917;787.653;90;2.56798
-371.433;751.443;80;3.0565
-349.278;710.254;70;3.68811
-323.469;662.243;60;4.54103
-293.068;605.559;50;5.73912
-256.751;537.99;40;7.49979
-210.724;452.747;30;10.3985
-141.131;331.838;20;16.631
0;0;14.9079;30.6718
